latitude,longitude,rainfall_mm,soil_moisture,elevation_m,slope_percent,landslide
25.63789605425138,88.76667335654045,143.7,0.475708,285.0,14.14,0
23.7348,92.7187,12.8,0.422792,1043.0,4.91,1
25.93210991064982,95.18875131894663,0.0,0.349625,151.0,4.42,0
22.960124083448907,93.72901594320194,15.5,0.463083,1499.0,23.38,0
27.499049968781705,90.6057995136501,0.0,0.370792,1311.0,13.07,0
23.242230120301418,93.02602506342151,3.9,0.422667,1804.0,9.55,0
27.129753960132927,89.82403913267439,7.0,0.489208,55.0,3.93,0
25.583,91.893,38.5,0.482792,1451.0,0.7,1
22.644276706771414,90.41061712172963,0.8,0.393583,472.0,23.77,0
26.664789520267494,90.78817763049453,49.2,0.48,295.0,1.07,0
28.235,94.9612,30.1,0.428333,251.0,10.5,1
27.1954,88.6115,12.2,0.412458,487.0,10.54,1
26.00372473884925,96.49408108563831,9.5,0.423958,4060.0,3.37,0
25.357602256753868,95.72897137728626,27.6,0.47925,1409.0,1.66,0
26.1049,91.7369,42.1,0.485458,164.0,3.97,1
23.863366065978088,94.16049703870371,13.3,0.452375,1660.0,8.09,0
26.056524813154393,95.34095291271191,36.9,0.477833,1021.0,25.6,0
23.2193500781047,94.93697693015109,5.9,0.42025,1026.0,6.52,0
25.1941,94.4481,3.6,0.445542,1713.0,4.28,1
22.651843140207156,96.39708826680658,13.6,0.48225,147.0,5.67,0
26.467174577149482,96.67488137771798,9.2,0.462625,1683.0,4.47,0
25.5145,90.2023,51.0,0.472375,279.0,3.54,1
28.315390498985465,95.10002595662243,1.3,0.405958,867.0,19.44,0
25.3433,92.2897,37.4,0.4845,1204.0,3.48,1
26.0093,94.5238,3.5,0.485875,1828.0,6.83,1
27.563476608773364,90.02260162767281,45.9,0.475333,615.0,14.37,0
28.3036,95.4112,49.7,0.42825,1835.0,40.36,1
24.7459,93.4251,11.8,0.414875,769.0,24.06,1
23.469344800622753,92.73820082649547,16.3,0.503375,1669.0,9.12,0
28.126121999994268,89.40980328866728,2.5,0.175833,886.0,0.17,0
23.0573050390825,94.37735261852166,50.1,0.429,610.0,9.07,0
28.798464811222278,93.74805192343578,2.1,0.41225,1576.0,10.73,0
26.016825960439515,88.89506644148106,36.1,0.4285,483.0,14.02,0
24.44060622868141,93.73293017057803,68.7,0.490542,1496.0,5.27,0
22.677849429502626,94.22041104961988,90.9,0.43375,1551.0,4.89,0
25.3612,92.2845,18.7,0.479417,1227.0,2.04,1
26.0977,94.7031,12.0,0.467875,1682.0,25.41,1
23.5397,93.3783,4.7,0.412,1582.0,22.06,1
26.685268524353447,91.48426877884685,10.9,0.485625,779.0,0.14,0
22.609856181031663,89.97534682688833,20.6,0.431208,1642.0,26.33,0
25.85830200155062,94.65138871160002,13.3,0.452375,1660.0,8.09,0
26.4205,94.9731,14.5,0.456,690.0,7.32,1
28.354189765197052,91.21128114101353,20.6,0.440167,1437.0,22.87,0
23.27464047589402,91.6504363348152,10.4,0.476,856.0,21.5,0
25.6269,94.1139,19.2,0.487333,1558.0,19.78,1
25.077091466377116,92.92732658647047,13.3,0.474417,1435.0,8.95,0
25.0951,92.3567,12.0,0.47175,246.0,11.49,1
25.0672,93.4093,33.7,0.426042,460.0,14.5,1
25.87119808681237,94.85102792775263,133.4,0.43075,287.0,10.8,0
25.203,90.5573,26.2,0.465833,128.0,1.55,1
22.58714600947805,89.82239111396873,0.0,0.255917,102.0,13.08,0
26.1964,91.7652,4.7,0.454,78.0,4.76,1
